( 43d7, 4b8b ) ( 1797, 4b8b )
( 1e7, 6ea1 ) ( 397, 6ea1 )
( a35b, a8fb ) ( 33cb, a8fb )
( 641, 71f9 ) ( 6a61, 71f9 )
( 483d, aca5 ) ( 7c15, aca5 )
( 321d, 61bd ) ( 3f8d, 61bd )
( 2687, 4421 ) ( 33b, 4421 )
( 3833, 41b1 ) ( 2a47, 41b1 )
( 6947, 9293 ) ( 21bf, 9293 )
( 759d, 7757 ) ( 2935, 7757 )
( 67e5, 8c45 ) ( 69ad, 8c45 )
( d, 4267 ) ( 1e25, 4267 )
( 4b4f, 5603 ) ( 76f, 5603 )
( 5bf9, 7d6f ) ( 6979, 7d6f )
( 743f, caf7 ) ( c53f, caf7 )
( 4d1d, 59d7 ) ( 5065, 59d7 )
( 3ce5, 3e47 ) ( 1155, 3e47 )
( 2089, 7c99 ) ( 6229, 7c99 )
( 2b05, 2ffb ) ( 1065, 2ffb )
( 8ef, 4d11 ) ( 4bdf, 4d11 )
( fd3, 30f5 ) ( 10ff, 30f5 )
( 1733, 1b77 ) ( bdb, 1b77 )
( 3bf, 31a3 ) ( eff, 31a3 )
( cd9, 3f97 ) ( 1729, 3f97 )
( 3f01, 6995 ) ( 3ec5, 6995 )
( 739d, 7915 ) ( 4625, 7915 )
( 2ea9, 3f2b ) ( 2351, 3f2b )
( d, 15b9 ) ( 4e1, 15b9 )
( 1d17, 4921 ) ( 32a7, 4921 )
( 4b0d, 7397 ) ( e65, 7397 )
( 345f, 3ef5 ) ( 214b, 3ef5 )
( 5d55, 6ac3 ) ( 31d5, 6ac3 )
( 53d1, 8cf9 ) ( c1, 8cf9 )
( fd1, 213d ) ( b2d, 213d )
( 1d0d, 5161 ) ( 18e5, 5161 )
( 2f77, 3c79 ) ( 3447, 3c79 )
( 1eb3, 56c5 ) ( 27b, 56c5 )
( 1f0f, 57e3 ) ( 1807, 57e3 )
( 3f83, d06d ) ( 336b, d06d )
( 1829, 34ab ) ( 3119, 34ab )
( 6f7, 23cf ) ( 1b97, 23cf )
( 3d25, 6335 ) ( 39ad, 6335 )
( 6e9, 3a09 ) ( 28b5, 3a09 )
( 53b9, b251 ) ( 8171, b251 )
( 672d, 6a55 ) ( 4585, 6a55 )
( 2b7b, 42d7 ) ( df3, 42d7 )
( c77, 7691 ) ( 3f53, 7691 )
( 2cfd, 36a3 ) ( 28ad, 36a3 )
( 92f, 409f ) ( 3daf, 409f )
( 25b1, 626f ) ( 4cb1, 626f )
( 2831, 63e5 ) ( 341d, 63e5 )
( 4e71, 7acf ) ( 15b9, 7acf )
( 2117, 3731 ) ( 3323, 3731 )
( 1c9, 2953 ) ( 1e49, 2953 )
( 1b65, 338f ) ( 275, 338f )
( 7efb, a2dd ) ( 3a73, a2dd )
( 1403, 17ab ) ( 27b, 17ab )
( 1e1f, 5b99 ) ( 19d3, 5b99 )
( 1921, 2a37 ) ( 2b9, 2a37 )
( 2089, 2b0f ) ( 1cc9, 2b0f )
( 9485, a3bd ) ( 2e69, a3bd )
( 6407, 9d6d ) ( 3c53, 9d6d )
( 652d, 7eb5 ) ( 16d9, 7eb5 )
( 2d5f, 5317 ) ( 4b9f, 5317 )
( 385f, 44f5 ) ( 343, 44f5 )
( 3457, 4de3 ) ( d9f, 4de3 )
( 3d, 1c87 ) ( f85, 1c87 )
( 8ac7, 9d75 ) ( 2537, 9d75 )
( 2c5d, 31fd ) ( 35, 31fd )
( 1279, 7433 ) ( 4951, 7433 )
( 38ad, 3af1 ) ( 2c7d, 3af1 )
( 20fb, d06d ) ( 1993, d06d )
( 147b, 5bed ) ( 5273, 5bed )
( 2a17, 447d ) ( 1287, 447d )
( ce5, 5aad ) ( 7a5, 5aad )
( 1151, 3937 ) ( 1f1, 3937 )
( 2fc9, 3c2b ) ( 26f9, 3c2b )
( 9ef, 18af ) ( 75f, 18af )
( 715, 7a51 ) ( 64ed, 7a51 )
( 10c1, 2b0d ) ( 1811, 2b0d )
( 17fb, a1e9 ) ( 5ce3, a1e9 )
( 513d, 765d ) ( 4f15, 765d )
( 32b7, 8389 ) ( abb, 8389 )
( 1e5f, 66d9 ) ( 189f, 66d9 )
( 1ffd, 286d ) ( 79d, 286d )
( 11e3, 59d7 ) ( 35fb, 59d7 )
( 2e27, 447d ) ( 2d7, 447d )
( 1a51, 7b41 ) ( c71, 7b41 )
( 8f, 1d5f ) ( 2cf, 1d5f )
( 6af, 15e9 ) ( 943, 15e9 )
( 11ef, 2e99 ) ( 14bf, 2e99 )
( fd1, 44b9 ) ( 20b1, 44b9 )
( 4e1d, 9389 ) ( 4991, 9389 )
( afb, 31a5 ) ( 2d97, 31a5 )
( c4d, 68cb ) ( 3005, 68cb )
( 79d, 57d7 ) ( 2df5, 57d7 )
( 6b9, 1691 ) ( ad9, 1691 )
( 4d5, 4ad1 ) ( 2261, 4ad1 )
( 49f3, 7433 ) ( 3a7b, 7433 )
( 2cbb, 36a3 ) ( 22e3, 36a3 )
( 41c5, 4c37 ) ( 15b5, 4c37 )
( 3443, 41b1 ) ( 2cf, 41b1 )
( 1b7f, 96b3 ) ( 3e47, 96b3 )
( 296b, 4c3f ) ( 1d2b, 4c3f )
( d93, 7397 ) ( 5fb, 7397 )
( 4145, 485f ) ( 448d, 485f )
( 38dd, 3df1 ) ( 1705, 3df1 )
( 3ef5, 5405 ) ( 309d, 5405 )
( 429b, 532d ) ( 2beb, 532d )
( 1fb1, 2aa9 ) ( 108d, 2aa9 )
( 214d, 7055 ) ( 3785, 7055 )
( 30d, 1ccd ) ( b05, 1ccd )
( 200f, a2dd ) ( 9fef, a2dd )
( 6887, 6dc7 ) ( 5f3f, 6dc7 )
( 1e1d, 53c9 ) ( 635, 53c9 )
( 12ad, 1fc9 ) ( 1ae1, 1fc9 )
( 156b, 2ed9 ) ( 51b, 2ed9 )
( 386f, ab9b ) ( 4397, ab9b )
( 1263, 18af ) ( 115b, 18af )
( 435d, 6a19 ) ( 3805, 6a19 )
( 112d, 1af5 ) ( 15c5, 1af5 )
( 16d, 1ba9 ) ( 965, 1ba9 )
( 137, 36d7 ) ( 15d7, 36d7 )
( 13f7, 22b1 ) ( e67, 22b1 )
( 1b17, 33e9 ) ( 24a7, 33e9 )
( 7, 36c1 ) ( 2673, 36c1 )
( cf5, 5575 ) ( 229, 5575 )
( 46b, 1c03 ) ( 1a73, 1c03 )
( 29d, a71d ) ( 9c55, a71d )
( 7a9, 9923 ) ( 6821, 9923 )
( 1f67, 3d69 ) ( 2903, 3d69 )
( 6ca1, 8713 ) ( 761, 8713 )
( a33d, d795 ) ( 7115, d795 )
( 674b, db59 ) ( 23e3, db59 )
( 3cd, 9ac1 ) ( 3445, 9ac1 )
( 1f3d, 60dd ) ( 2975, 60dd )
( a8b, 4999 ) ( 2217, 4999 )
( 30b9, aeaf ) ( 291, aeaf )
( 44cb, 5ec1 ) ( 1f0f, 5ec1 )
( 481d, 7cb1 ) ( e35, 7cb1 )
( 3bdb, b177 ) ( 4fa3, b177 )
( ef5, 3e47 ) ( 19dd, 3e47 )
( 1bc5, 1dad ) ( 9e1, 1dad )
( 77b, 3625 ) ( 107, 3625 )
( 2b8b, 6af7 ) ( bab, 6af7 )
( 4bd, 4f43 ) ( 1bd, 4f43 )
( 44dd, 92fb ) ( 67b5, 92fb )
( 701d, b7eb ) ( 215d, b7eb )
( 2f51, 36d7 ) ( 2951, 36d7 )
( 1975, 2ed9 ) ( 10e1, 2ed9 )
( f17, 1f15 ) ( 1067, 1f15 )
( 178f, 2105 ) ( 1b37, 2105 )
( 1519, 1dad ) ( c81, 1dad )
( 2f27, 4495 ) ( 1217, 4495 )
( 14f9, 7ae3 ) ( 41c9, 7ae3 )
( 8d5, 81cb ) ( 2135, 81cb )
( aeb, 4271 ) ( 2a83, 4271 )
( 14bb, af81 ) ( 4fdb, af81 )
( 45bf, b42f ) ( 9cbf, b42f )
( 176f, 3053 ) ( e9f, 3053 )
( b123, de91 ) ( 3573, de91 )
( 431f, add7 ) ( 741f, add7 )
( 1463, 301d ) ( 84b, 301d )
( 1a23, 27a3 ) ( 12bb, 27a3 )
( 505d, 8713 ) ( 61cd, 8713 )
( dc9, 3bef ) ( 11b9, 3bef )
( 3811, 6c0d ) ( 1c09, 6c0d )
( da1, 4c3f ) ( 3ac9, 4c3f )
( 624b, 9eb9 ) ( 966f, 9eb9 )
( 94a5, 9d37 ) ( 2cad, 9d37 )
( 2381, 61bd ) ( 1201, 61bd )
( 3c4d, b7cd ) ( 37fd, b7cd )
( 2467, 5c95 ) ( 5517, 5c95 )
( 2ac7, 4085 ) ( ba7, 4085 )
( 1231, 2d77 ) ( 1ef1, 2d77 )
( 1fdf, 6181 ) ( 14f, 6181 )
( abd, b039 ) ( 535, b039 )
( 3bb, 2711 ) ( eb3, 2711 )
( 9b9, 1c03 ) ( 581, 1c03 )
( 505f, 6a7f ) ( 14bf, 6a7f )
( 5a87, 97ff ) ( 3707, 97ff )
( 39b9, 3f2b ) ( e21, 3f2b )
( 122f, 45cd ) ( 36d7, 45cd )
( 43, 2b01 ) ( 16ab, 2b01 )
( 1fff, 4d11 ) ( 259f, 4d11 )
( 5b27, ab9b ) ( 1fcf, ab9b )
( 591d, 5ef3 ) ( 17ad, 5ef3 )
( 533, 64b1 ) ( 3b8b, 64b1 )
( 1ced, 2437 ) ( 205, 2437 )
( 14e9, 380f ) ( 2119, 380f )
( 39a7, 8e27 ) ( 8b37, 8e27 )
( 6f7, 2731 ) ( b9b, 2731 )
( 3e31, 64b1 ) ( 39a1, 64b1 )
( cc7, 92fb ) ( 54cf, 92fb )
( 1ead, 7c85 ) ( 1d5d, 7c85 )
( 373, 330b ) ( 260b, 330b )
( 50bd, 896f ) ( 3f65, 896f )
( 5f8d, 85e5 ) ( 292d, 85e5 )
( 2423, 34ab ) ( 180b, 34ab )
( 2cb3, 33af ) ( 3013, 33af )
( 4ae1, 6515 ) ( 47e1, 6515 )
( 977, 41c5 ) ( 3147, 41c5 )
( 4ed9, 5257 ) ( 1c9, 5257 )
( 3509, a2eb ) ( 25f9, a2eb )
( 3447, 6433 ) ( 3c97, 6433 )
( 700d, 81d1 ) ( 3a61, 81d1 )
( 5edb, 669d ) ( 2893, 669d )
( 191b, 44f5 ) ( 1c0f, 44f5 )
( 16d9, 5603 ) ( 2f69, 5603 )
( 1e7f, 9923 ) ( 220f, 9923 )
( 251b, 2dfb ) ( 823, 2dfb )
( 96eb, d987 ) ( 3143, d987 )
( 4f4f, 8e27 ) ( 368f, 8e27 )
( 571d, 68cb ) ( 6335, 68cb )
( 1f9f, 97ff ) ( 279f, 97ff )
( 15bf, 5f1b ) ( 2e7f, 5f1b )
( 20f3, 3bf3 ) ( 324b, 3bf3 )
( 6c41, 8b25 ) ( 515, 8b25 )
( d4f, caf7 ) ( 67df, caf7 )
( 2785, 324d ) ( 1e19, 324d )
( 247d, b039 ) ( 3db5, b039 )
( 46c9, 7a8d ) ( 4399, 7a8d )
( 178d, 3a55 ) ( 35a5, 3a55 )
( 1853, 2461 ) ( 200f, 2461 )
( dfd, 1f2b ) ( 1cfd, 1f2b )
( 36a3, 5153 ) ( 3343, 5153 )
( 629b, 8713 ) ( 6f5b, 8713 )
( 778f, aa65 ) ( 616f, aa65 )
( 3a5b, 8b25 ) ( 27cb, 8b25 )
( 923, 288b ) ( 24cb, 288b )
( 817, 419f ) ( 3277, 419f )
( e93, 2b01 ) ( 87b, 2b01 )
( 168d, 42d7 ) ( 3865, 42d7 )
( 1a95, 3bef ) ( 11dd, 3bef )
( 2c5f, 495b ) ( 45af, 495b )
( 923, 532d ) ( 4793, 532d )
( 6235, 7523 ) ( 2b5d, 7523 )
( a67, 3a5d ) ( a67, 3a5d )
( d43, 7a0b ) ( edb, 7a0b )
( 3cb5, 6029 ) ( 2569, 6029 )
( 1627, 3617 ) ( 196f, 3617 )
( 509f, 9dab ) ( ac7, 9dab )
( c5f, 21a3 ) ( 11ff, 21a3 )
( 225b, b7eb ) ( b41b, b7eb )
( 28db, 42d9 ) ( 3103, 42d9 )
( 47c3, 50e7 ) ( 417b, 50e7 )
( 395, 3aaf ) ( 2d35, 3aaf )
( 3d1, 4cd9 ) ( 163d, 4cd9 )
( 1669, 2437 ) ( 1c9, 2437 )
( 2f37, 34f9 ) ( 1cff, 34f9 )
( 3d7, 2b0d ) ( b, 2b0d )
( 445, b51f ) ( 29dd, b51f )
( 3d, 5dbf ) ( 45b5, 5dbf )
( b261, b51f ) ( 3c41, b51f )
( 2245, 6a55 ) ( 2b15, 6a55 )
( 1a3d, 2e51 ) ( 1ccd, 2e51 )
( 410b, 78d1 ) ( 6193, 78d1 )
( 42a9, 765d ) ( 4699, 765d )
( 11e1, 57d7 ) ( 4ba1, 57d7 )
( daf, 9479 ) ( 2e5b, 9479 )
( 5b55, 626f ) ( 499d, 626f )
( 8c53, bb19 ) ( 8e4b, bb19 )
( 666b, 7915 ) ( 621b, 7915 )
( 3e73, a2eb ) ( 9dbb, a2eb )
( 1f8b, 4b8b ) ( 1093, 4b8b )
( 1bc5, 6bf9 ) ( 55e5, 6bf9 )
( 475, 452f ) ( 2dd, 452f )
( 6e83, 9415 ) ( 88cb, 9415 )
( 3437, 3e8d ) ( 1ba7, 3e8d )
( 1aab, 9293 ) ( 8b2b, 9293 )
( 1193, 5c9f ) ( 1193, 5c9f )
( 15fb, 21bf ) ( 1ceb, 21bf )
( 20c5, 5c9b ) ( 1585, 5c9b )
( 23a3, 2953 ) ( 43, 2953 )
( 2725, 3bf3 ) ( 141d, 3bf3 )
( 5e37, 6f01 ) ( 52f7, 6f01 )
( 74d7, 7b53 ) ( 7207, 7b53 )
( 18eb, 3cfb ) ( 36d3, 3cfb )
( 3415, 3c2b ) ( 351d, 3c2b )
( 1c7f, 3d5b ) ( 299f, 3d5b )
( e09, 2ae5 ) ( 2471, 2ae5 )
( c59, 1f2b ) ( 1541, 1f2b )
( 8393, 896f ) ( 63cb, 896f )
( 3eff, 799d ) ( 305f, 799d )
( e99, 54e5 ) ( 3c35, 54e5 )
( 31f, 301f ) ( 2d1f, 301f )
( 2801, 2b0f ) ( 1cc1, 2b0f )
( 199, bd3b ) ( 9e29, bd3b )
( 9da3, a01f ) ( 63b, a01f )
( 1045, 1963 ) ( fcd, 1963 )
( 1f1f, 3cc1 ) ( 7d3, 3cc1 )
( 1591, 2fa1 ) ( eb1, 2fa1 )
( 281b, 31fd ) ( 1fcf, 31fd )
( 6fad, b3cf ) ( 1bc5, b3cf )
( 4f9, 44b9 ) ( 1849, 44b9 )
( 397, 5f1b ) ( 2a7, 5f1b )
( 2ef, 1759 ) ( 1057, 1759 )
( 37d5, 660b ) ( 59ad, 660b )
( 1cf9, a81f ) ( 16c9, a81f )
( 47ad, 50ab ) ( 3025, 50ab )
( 3a67, 8ee5 ) ( 737, 8ee5 )
( 6209, 7fe7 ) ( 71d9, 7fe7 )
( 177b, 3a85 ) ( 2897, 3a85 )
( 285d, 4ff3 ) ( 2f5, 4ff3 )
( 8789, aadb ) ( 3401, aadb )
( 87b3, d5cb ) ( 3023, d5cb )
( 125b, a01f ) ( 29b3, a01f )
( 2afb, 60f7 ) ( 3bf3, 60f7 )
( 2de3, 5b51 ) ( 2dcb, 5b51 )
( 8597, 982d ) ( 45b, 982d )
( a75, 2ad1 ) ( 17dd, 2ad1 )
( 227f, 2bdb ) ( 2a8f, 2bdb )
( 43df, 6dc7 ) ( 2ec7, 6dc7 )
( 3f5, 37c7 ) ( 310d, 37c7 )
( 85e9, e473 ) ( bbf9, e473 )
( c65, 39d3 ) ( 252d, 39d3 )
( c25, 5057 ) ( ef5, 5057 )
( 2441, 2c27 ) ( 21a1, 2c27 )
( 124f, 360d ) ( 346f, 360d )
( 4459, 460d ) ( 38c5, 460d )
( 980f, aadb ) ( 65cf, aadb )
( 34df, 47e7 ) ( 416f, 47e7 )
( 36d1, 3f71 ) ( 26b1, 3f71 )
( 477b, 68ad ) ( 4ac3, 68ad )
( b3a5, cee1 ) ( 3a3d, cee1 )
( f83, 3155 ) ( 2a6b, 3155 )
( d85, 5011 ) ( 133d, 5011 )
( 18f1, 2d47 ) ( 589, 2d47 )
( 67d, 3e47 ) ( 8b5, 3e47 )
( 1243, 2357 ) ( a93, 2357 )
( 1c55, 9d37 ) ( 775d, 9d37 )
( ab1, 2a79 ) ( 14ad, 2a79 )
( 405d, 660b ) ( 546d, 660b )
( 1813, 3053 ) ( d4b, 3053 )
( 2467, 2645 ) ( 757, 2645 )
( e6b, 41b1 ) ( 3463, 41b1 )
( 39af, 595f ) ( 1ccf, 595f )
( 7f39, bb19 ) ( b71, bb19 )
( 13f5, 2533 ) ( 55d, 2533 )
( eb3, 378b ) ( 2bdb, 378b )
( 1591, 2b0f ) ( 22b1, 2b0f )
( 1915, 5153 ) ( 3cb5, 5153 )
( 538f, 8c71 ) ( 3dff, 8c71 )
( 4029, 595f ) ( 2239, 595f )
( ad, 174b ) ( 15c5, 174b )
( 763f, 9d75 ) ( 45df, 9d75 )
( 11c5, 29e1 ) ( 991, 29e1 )
( 3af3, 42a7 ) ( 23fb, 42a7 )
( 5719, c127 ) ( bdf9, c127 )
( 1461, 2c95 ) ( de1, 2c95 )
( 1039, 544f ) ( 4689, 544f )
( 3b05, 4ba7 ) ( 1fd5, 4ba7 )
( 1cab, 547f ) ( 1303, 547f )
( 3f5, 3f97 ) ( 12ad, 3f97 )
( 340f, 3e93 ) ( bef, 3e93 )
( 5a47, daa5 ) ( 9467, daa5 )
( 61cf, a883 ) ( f4f, a883 )
( 7441, bcbf ) ( 8071, bcbf )
( 418d, 62b9 ) ( 4475, 62b9 )
( ed7, 669d ) ( 5527, 669d )
( 469f, ab23 ) ( 9b5f, ab23 )
( 196d, 2e7b ) ( 2ac5, 2e7b )
( 2ac1, 3b8f ) ( 2ac1, 3b8f )
( 815, 2bdb ) ( c5, 2bdb )
( a09, 33e9 ) ( 2539, 33e9 )
( 517f, 6dc7 ) ( 5737, 6dc7 )
( 1ec7, 3739 ) ( 13ff, 3739 )
( 1313, 20bf ) ( c4b, 20bf )
( 68d5, d987 ) ( 8b2d, d987 )
( 84b, 4805 ) ( a97, 4805 )
( cc1, 1e83 ) ( 5d1, 1e83 )
( 2eb7, 3bef ) ( acf, 3bef )
( 44dd, 50e7 ) ( 1885, 50e7 )
( 367f, 4fbd ) ( 3b9f, 4fbd )
( 7f01, 8cf9 ) ( 4fd, 8cf9 )
( 5237, 57fb ) ( 1ff7, 57fb )
( 490b, d3ed ) ( 96df, d3ed )
( 6841, 81c5 ) ( 2ee1, 81c5 )
( 1baf, 418d ) ( 1fcf, 418d )
( 3c7f, 4a3f ) ( 24c7, 4a3f )
( f1, 41c5 ) ( 3351, 41c5 )
( 1d3b, 4769 ) ( 1033, 4769 )
( 4527, ce9b ) ( 4b07, ce9b )
( e63, 3389 ) ( 1127, 3389 )
( 1823, 3233 ) ( 2e2b, 3233 )
( 41bd, 5743 ) ( 4375, 5743 )
( 121f, 3515 ) ( 26b, 3515 )
( 5207, 6025 ) ( 338f, 6025 )
( 9b, 3515 ) ( 3227, 3515 )
( 25c9, ab23 ) ( 16f9, ab23 )
( 62f, 3cc1 ) ( 222b, 3cc1 )
( 2659, 3a0f ) ( 3189, 3a0f )
( b03, 2533 ) ( 1a5b, 2533 )
( 9e59, a883 ) ( 7669, a883 )
( 12dd, 82db ) ( 5e55, 82db )
( 43dd, 8653 ) ( 28c5, 8653 )
( 6a19, 9179 ) ( 61cd, 9179 )
( 64a9, 8389 ) ( 6035, 8389 )
( 11e3, 4421 ) ( 1657, 4421 )
( a561, d795 ) ( 2be1, d795 )
( 493, 42d9 ) ( 2ccb, 42d9 )
( 16a1, 2a79 ) ( 1899, 2a79 )
( 6557, afa9 ) ( 5267, afa9 )
( c29, 3e93 ) ( 3599, 3e93 )
( 913, 34b5 ) ( 2f23, 34b5 )
( 99f7, b42f ) ( 7ec7, b42f )
( 1a45, 1e83 ) ( 136d, 1e83 )
( 15b9, 485f ) ( 23c9, 485f )
( 1d15, 3875 ) ( 1c3d, 3875 )
( fcb, 2645 ) ( 1ee3, 2645 )
( 382f, 5d23 ) ( 430f, 5d23 )
( 1017, 36a3 ) ( 2917, 36a3 )
( 65, 459d ) ( 3a35, 459d )
( 317b, 3731 ) ( 15f7, 3731 )
( 1159, 6029 ) ( 1591, 6029 )
( 4545, 5c95 ) ( 4eed, 5c95 )
( 4795, 61bb ) ( 1e3d, 61bb )
( 1049, 60a7 ) ( 5249, 60a7 )
( 637d, b3cf ) ( 72f5, b3cf )
( 12b5, 68e9 ) ( 17dd, 68e9 )
( 3ccd, 43d3 ) ( 1585, 43d3 )
( 2fe5, 8113 ) ( 427d, 8113 )
( ebd, 2e99 ) ( 2159, 2e99 )
( 354d, 3a5d ) ( 2689, 3a5d )
( 49a9, 8659 ) ( 811d, 8659 )
( 1057, 733f ) ( 697, 733f )
( 3ef, 4427 ) ( 332f, 4427 )
( 3ee3, 778f ) ( 8b, 778f )
( 2ec1, 4e83 ) ( 3e39, 4e83 )
( 3727, 3bf3 ) ( 3247, 3bf3 )
( 68d5, 8c71 ) ( 583d, 8c71 )
( 6ca7, b039 ) ( 3737, b039 )
( 34c9, 8713 ) ( 6709, 8713 )
( 2f8f, 3c25 ) ( 106f, 3c25 )
( 15a3, 4d75 ) ( 35b, 4d75 )
( 172d, 626f ) ( 2945, 626f )
( 15b, 5ef3 ) ( 5ab, 5ef3 )
